12Z 05 04 2017, 11.11, 8.70
00Z 06 04 2017, 0.00, 6.79
12Z 06 04 2017, 0.00, 6.58
00Z 07 04 2017, 0.00, 8.31
12Z 07 04 2017, 0.00, 8.75
00Z 08 04 2017, 0.00, 9.09
12Z 08 04 2017, 0.00, 9.16
00Z 09 04 2017, 2.61, 10.80
12Z 09 04 2017, 0.00, 15.73
00Z 10 04 2017, 0.00, 7.49
12Z 10 04 2017, 3.57, 13.63
00Z 11 04 2017, 0.00, 15.56
12Z 11 04 2017, 1.36, 16.16
00Z 12 04 2017, 4.39, 15.10
12Z 12 04 2017, 0.00, 13.47
00Z 13 04 2017, 0.00, 12.72
12Z 13 04 2017, 5.14, 16.79
00Z 14 04 2017, 0.00, 19.84
12Z 14 04 2017, 0.00, 23.15
00Z 15 04 2017, 0.17, 9.08
12Z 15 04 2017, 26.27, 11.06
00Z 16 04 2017, 0.00, 18.06
12Z 16 04 2017, 2.04, 15.09
00Z 17 04 2017, 2.74, 16.37
12Z 17 04 2017, 0.00, 15.18
00Z 18 04 2017, 0.00, 13.28
12Z 18 04 2017, 0.00, 15.99
00Z 19 04 2017, 0.00, 14.05
12Z 19 04 2017, 1.81, 15.71
00Z 20 04 2017, 0.00, 14.89
12Z 20 04 2017, 0.00, 14.54
00Z 21 04 2017, 0.00, 13.50
12Z 21 04 2017, 0.00, 11.17
00Z 22 04 2017, 0.00, 13.30
12Z 22 04 2017, 0.00, 12.43
00Z 23 04 2017, 0.00, 14.04
12Z 23 04 2017, 0.00, 12.47
00Z 24 04 2017, 1.37, 13.67
12Z 24 04 2017, 4.58, 14.11
00Z 25 04 2017, 0.00, 6.74
12Z 25 04 2017, 0.33, 8.31
00Z 26 04 2017, 0.00, 7.02
12Z 26 04 2017, 0.00, 10.56
00Z 27 04 2017, 0.00, 12.26
12Z 27 04 2017, 0.00, 11.88
00Z 28 04 2017, 0.00, 9.58
12Z 28 04 2017, 43.47, 10.18
00Z 29 04 2017, 15.27, 12.43
12Z 29 04 2017, 11.39, 12.43
00Z 30 04 2017, 18.98, 17.65
12Z 30 04 2017, 0.00, 7.70
00Z 01 05 2017, 26.31, 12.15
12Z 01 05 2017, 0.00, 8.46
00Z 02 05 2017, 0.00, 27.09
12Z 02 05 2017, 3.67, 24.57
00Z 03 05 2017, 0.00, 12.77
12Z 03 05 2017, 22.90, 12.79
00Z 04 05 2017, 0.00, 7.80
12Z 04 05 2017, 0.00, 12.41
00Z 05 05 2017, 0.00, 11.63
12Z 05 05 2017, 0.00, 12.02
00Z 06 05 2017, 0.00, 11.87
12Z 06 05 2017, 0.00, 13.86
00Z 07 05 2017, 0.00, 12.92
12Z 07 05 2017, 0.00, 13.33
00Z 08 05 2017, 0.00, 10.37
12Z 08 05 2017, 0.00, 14.15
00Z 09 05 2017, 0.00, 12.35
12Z 09 05 2017, 0.00, 10.43
00Z 10 05 2017, 1.36, 12.33
12Z 10 05 2017, 0.00, 9.95
00Z 11 05 2017, 0.00, 10.70
12Z 11 05 2017, 0.00, 9.86
00Z 12 05 2017, 4.21, 16.21
12Z 12 05 2017, 0.00, 15.13
00Z 13 05 2017, 1.62, 14.86
12Z 13 05 2017, 0.34, 18.85
00Z 14 05 2017, 0.00, 11.29
12Z 14 05 2017, 69.27, 12.98
00Z 15 05 2017, 0.00, 30.13
12Z 15 05 2017, 0.00, 33.05
00Z 16 05 2017, 0.14, 24.65
12Z 16 05 2017, 58.32, 11.38
00Z 17 05 2017, 0.00, 14.27
12Z 17 05 2017, 74.93, 13.34
00Z 18 05 2017, 15.26, 14.20
12Z 18 05 2017, 0.00, 11.66
00Z 19 05 2017, 0.00, 13.28
12Z 19 05 2017, 3.55, 16.32
00Z 20 05 2017, 86.86, 14.83
12Z 20 05 2017, 94.23, 14.69
00Z 21 05 2017, 0.00, 22.39
12Z 21 05 2017, 20.59, 17.94
00Z 22 05 2017, 0.40, 23.88
12Z 22 05 2017, 19.02, 16.50
00Z 23 05 2017, 0.00, 28.01
12Z 23 05 2017, 0.00, 27.92
00Z 24 05 2017, 0.00, 24.02
12Z 24 05 2017, 0.03, 20.74
00Z 25 05 2017, 0.00, 15.83
12Z 25 05 2017, 0.00, 21.91
00Z 26 05 2017, 0.00, 21.57
12Z 26 05 2017, 0.00, 28.42
00Z 27 05 2017, 0.00, 29.44
12Z 27 05 2017, 0.00, 10.96
00Z 28 05 2017, 0.00, 12.32
12Z 28 05 2017, 0.00, 16.06
00Z 29 05 2017, 0.00, 24.14
12Z 29 05 2017, 0.00, 23.41
00Z 30 05 2017, 0.00, 20.11
12Z 30 05 2017, 0.00, 13.98
00Z 31 05 2017, 0.00, 13.11
12Z 31 05 2017, 0.00, 18.50
00Z 01 06 2017, 0.00, 33.84
12Z 01 06 2017, 7.11, 28.65
00Z 02 06 2017, 2.18, 11.26
12Z 02 06 2017, 23.66, 13.57
00Z 03 06 2017, 26.01, 19.34
12Z 03 06 2017, 57.49, 14.60
00Z 04 06 2017, 0.00, 11.16
12Z 04 06 2017, 1.45, 14.94
00Z 05 06 2017, 9.16, 20.10
12Z 05 06 2017, 0.50, 21.90
00Z 06 06 2017, 13.75, 13.97
